唐诗三百,五言绝句,行宫,元稹 〔唐代〕,寥落古行宫，宫花寂寞红。白头宫女在，闲坐说玄宗。,"译文及注释



译文曾经富丽堂皇的古行宫已是一片荒凉冷落，宫中艳丽的花儿在寂寞寥落中开放。幸存的几个满头白发的宫女，闲坐无事只能谈论着玄宗轶事。
注释寥（liáo）落：寂寞冷落。行宫：皇帝在京城之外的宫殿。这里指当时东都洛阳的皇帝行宫上阳宫。宫花：行宫里的花。白头宫女：据白居易《上阳白发人》，一些宫女天宝末年被“潜配”到上阳宫，在这冷宫里一闭四十多年，成了白发宫人。说：谈论。玄宗：指唐玄宗。"
唐诗三百,五言绝句,登鹳雀楼,王之涣 〔唐代〕,,"译文及注释



译文夕阳依傍着山峦慢慢沉落，滔滔黄河朝着大海汹涌奔流。想要看到千里之外的风光，那就要再登上更高的一层城楼。 
注释鹳（guàn）雀（què）楼：旧址在山西永济县，楼高三层，前对中条山，下临黄河。传说常有鹳雀在此停留，故有此名。白日：太阳。依：依傍。尽：消失。 这句话是说太阳依傍山峦沉落。欲：想要得到某种东西或达到某种目的的愿望，但也有希望、想要的意思。穷：尽，使达到极点。千里目：眼界宽阔。更：再。
展开阅读全文 ∨"
唐诗三百,五言绝句,新嫁娘词,王建 〔唐代〕,,"译文及注释



译文新婚三天来到厨房，洗手亲自作羹汤。还不熟悉婆婆的口味，做好先让小姑品尝。
注释三日：古代风俗，新媳妇婚后三日须下厨房做饭菜。羹：泛指做成浓的菜肴。“未谙”句：意思是还不熟悉婆婆的口味。谙：熟悉。姑食性：婆婆的口味。遣：让。小姑：一作“小娘”。丈夫的妹妹。也称小姑子。"
唐诗三百,五言绝句,相思,王维 〔唐代〕,寥落古行宫，宫花寂寞红。白头宫女在，闲坐说玄宗。,"译文及注释



译文红豆生长在阳光明媚的南方，每逢春天不知长多少新枝。希望思念的人儿多多采摘，因为它最能寄托相思之情。
注释相思：题一作“相思子”，又作“江上赠李龟年”。红豆：又名相思子，一种生在江南地区的植物，结出的籽像豌豆而稍扁，呈鲜红色。“春来”句：一作“秋来发故枝”。“愿君”句：一作“劝君休采撷”。采撷（xié）：采摘。相思：想念。"
唐诗三百,五言绝句,杂诗,王维 〔唐代〕,,"译文及注释



译文您是刚从我们家乡来的，一定了解家乡的人情世态。请问您来的时候我家雕画花纹的窗户前，那一株腊梅花开了没有？
注释来日：来的时候。绮(qǐ)窗：雕画花纹的窗户。著花未：开花没有。著（zhuó）花，开花。未，用于句末，相当于“否”，表疑问。"
唐诗三百,五言绝句,鹿柴,王维 〔唐代〕,,"译文及注释



译文幽静的山谷里看不见人，只听到人说话的声音。落日的影晕映入了深林，又照在幽暗处的青苔上。
注释鹿柴（zhài）：王维在辋川别业的胜景之一（在今陕西省蓝田县西南）。柴：通“寨”、“砦”，用树木围成的栅栏。但：只。返景（yǐng）：同“返影”，太阳将落时通过云彩反射的阳光。复：又。"
唐诗三百,五言绝句,竹里馆,王维 〔唐代〕,,"译文及注释



译文独自闲坐在幽静竹林，一边弹琴一边高歌长啸。深深的山林中无人知晓，只有一轮明月静静与我相伴。
注释竹里馆：辋川别墅胜景之一，房屋周围有竹林，故名。幽篁（huáng）：幽深的竹林。啸（xiào）：撮口发出长而清脆的声音，类似于打口哨。深林：指“幽篁”。相照：与“独坐”相应，意思是说，左右无人相伴，唯有明月似解人意，偏来相照。长啸：撮口而呼，这里指吟咏、歌唱。古代一些超逸之士常用来抒发感情。魏晋名士称吹口哨为啸。
展开阅读全文 ∨"
唐诗三百,五言绝句,山中送别,王维 〔唐代〕,,"译文及注释



译文在深山中送走了好友，夕阳西坠把柴门关闭。待到明年春草又绿的时候，朋友啊你能不能回还？ 
注释掩：关闭。柴扉：柴门。明年：一作“年年”。王孙：贵族的子孙，这里指送别的友人。"
唐诗三百,五言绝句,问刘十九,白居易 〔唐代〕,,"译文及注释



韵译新酿的米酒，色绿香浓；小小红泥炉，烧得殷红。天快黑了大雪将至，能否一顾寒舍共饮一杯暖酒？
意译我家新酿的米酒还未过滤，酒面上泛起一层绿泡，香气扑鼻。用红泥烧制成的烫酒用的小火炉也已准备好了。天色阴沉，看样子晚上即将要下雪，能否留下与我共饮一杯？ 
注释刘十九：白居易留下的诗作中，提到刘十九的不多，仅两首。但提到刘二十八、二十八使君的，就很多了。刘二十八就是刘禹锡。刘十九乃其堂兄刘禹铜，系洛阳一富商，与白居易常有应酬。绿蚁：指浮在新酿的没有过滤的米酒上的绿色泡沫。醅（pēi）：酿造。
展开阅读全文 ∨"
唐诗三百,五言绝句,哥舒歌,西鄙人 〔唐代〕,,"译文及注释



译文黑夜里北斗七星挂得高高，哥舒翰勇猛守边夜带宝刀。吐蕃族至今牧马只敢远望，他们再不敢南来越过临洮。
注释哥舒：指哥舒翰，是唐玄宗的大将，突厥族哥舒部的后裔。哥舒是以部落名称作为姓氏。《全唐诗》题下注：“天宝中，哥舒翰为安西节度使，控地数千里，甚著威令，故西鄙人歌此。”北斗七星：大熊座的一部分。窥：窃伺。牧马：指吐蕃越境放牧，指侵扰活动。临洮：今甘肃省洮河边的岷县。一说今甘肃省临潭县。秦筑长城西起于此。"
唐诗三百,五言绝句,静夜思,李白 〔唐代〕,,"译文及注释



译文明亮的月光洒在窗户纸上，好像地上泛起了一层白霜。我抬起头来，看那天窗外空中的明月，不由得低头沉思，想起远方的家乡。
注释静夜思：静静的夜里，产生的思绪。床：今传五种说法。一指井台。已经有学者撰文考证过。中国教育家协会理事程实将考证结果写成论文发表在刊物上，还和好友创作了《诗意图》。二指井栏。从考古发现来看，中国最早的水井是木结构水井。古代井栏有数米高，成方框形围住井口，防止人跌入井内，这方框形既像四堵墙，又像古代的床。因此古代井栏又叫银床，说明井和床有关系，其关系的发生则是由于两者在形状上的相似和
展开阅读全文 ∨"
唐诗三百,五言绝句,怨情,李白 〔唐代〕,,"译文及注释



译文美人儿卷起珠帘一直等待，一直坐着把双眉紧紧锁闭。只看见她泪痕湿满了两腮，不知道她心中埋怨的是谁？
注释“深坐”句：写失望时的表情。深坐：久久呆坐。颦蛾眉：皱眉。"
唐诗三百,五言绝句,登乐游原,李商隐 〔唐代〕,,"译文及注释



译文傍晚时分我心情不太好，独自驱车登上了乐游原。这夕阳晚景的确十分美好，只不过已是黄昏。
注释乐游原：在长安（今西安）城南，是唐代长安城内地势最高地。汉宣帝立乐游庙，又名乐游苑。登上它可望长安城。乐游原在秦代属宜春苑的一部分，得名于西汉初年。《汉书·宣帝纪》载，“神爵三年，起乐游苑”。汉宣帝第一个皇后许氏产后死去葬于此，因“苑”与“原”谐音，乐游苑即被传为“乐游原”。对此《关中记》有记载：“宣帝许后葬长安县乐游里，立庙于曲江池北，曰乐游庙，因苑（《长安志》误作葬字）为名。”向晚：傍晚。不适：不悦， 不快。古原：指
展开阅读全文 ∨"
